player_id,player_name,Tier,Final_agg_score,agg_PR_score,agg_RunD_score,Situational_score,apy,Role,Est_APY,Pay_flag,Tier_APY_Z
00-0033935,T.Hendrickson,0,830.9136732208387,19.58550870951717,16.751662580324666,136.73333333333335,28.0,Balanced,40.412824245090434,UnderPaid,-1.1519391939602288
00-0033886,T.Watt,0,797.9933475475189,16.043542175106143,18.978028431942104,127.19999999999999,41.0,Every-Down,41.27025129200038,FairlyPaid,0.6450859486177276
00-0033868,M.Garrett,0,783.6920298384437,17.970617504382766,18.721905517062595,137.66666666666666,40.0,Every-Down,38.482616098792946,FairlyPaid,0.5068532453425002
00-0035717,N.Bosa,1,677.1630729274991,18.598906732601705,21.117690410816717,124.33333333333333,34.0,Every-Down,37.91077459770205,FairlyPaid,0.41380075799837973
00-0031040,K.Mack,1,656.6541529594722,13.95871736243989,17.593840721484792,112.73333333333335,18.0,Every-Down,35.99593932532331,UnderPaid,-0.9923532282104693
00-0031565,D.Hunter,1,647.919267387849,14.155318151385616,19.4420187165546,112.73333333333335,40.1,Every-Down,35.180398233017556,FairlyPaid,0.9498969652405036
00-0034973,M.Crosby,1,646.6270285583198,13.603022489831579,21.76666588807845,123.80000000000001,35.5,Every-Down,35.0597470970739,FairlyPaid,0.5456276942054593
00-0036932,M.Parsons,1,640.3307881773399,16.43008383026532,18.473626595223692,111.0,46.5,Every-Down,34.47189248631569,OverPaid,1.5123585597240432
00-0037236,A.Hutchinson,1,604.7389785630633,18.070402915481584,17.30505869031252,89.8,45.0,Balanced,26.397312324778415,OverPaid,1.3805316235169636
00-0037192,G.Karlaftis,1,597.3458486909619,13.008956583394502,14.705721843072824,107.13333333333333,22.0,Pass-Rush Specialist,24.521723465044147,FairlyPaid,-0.6408147316582571
00-0034967,R.Gary,1,559.7771746597407,14.979346694604702,19.69987512181812,92.13333333333333,24.0,Every-Down,26.950925964356863,FairlyPaid,-0.46504548338215096
00-0033875,H.Reddick,1,551.9257627411628,12.075641407132354,13.699576780224193,127.19999999999999,14.0,Pass-Rush Specialist,21.107608209324237,UnderPaid,-1.3438917247626816
00-0034381,J.Sweat,1,542.8145125201388,14.083913241774773,17.363897585603,98.66666666666667,19.1,Balanced,21.49761907236956,FairlyPaid,-0.8956801416586109
00-0035642,J.Hines-Allen,1,541.1081062197892,13.659965938482808,16.79228238928536,91.86666666666667,24.007,Balanced,21.362601881750663,FairlyPaid,-0.46443029101318445
00-0039108,W.Anderson,2,526.0279069767442,18.12550120288693,21.311146752205296,87.0,8.803205,Every-Down,25.702711776959188,UnderPaid,-0.14504654902281516
00-0036914,G.Rousseau,2,523.1011060115335,14.006351013015378,21.235569493261835,77.2,20.0,Every-Down,25.439914898121714,UnderPaid,1.4549989234625198
00-0032052,D.Fowler,2,519.0798269033844,15.184906693308989,19.0698663641416,73.33333333333333,6.0,Every-Down,25.078845043656976,UnderPaid,-0.5456304186657133
00-0033072,L.Floyd,2,493.51263598475686,13.749966400986054,16.2193869047953,82.13333333333334,10.0,Balanced,19.307772912027033,UnderPaid,0.02597796479949614
00-0035272,A.Van Ginkel,2,489.05877783973267,9.870759791531755,23.695955531405,62.133333333333326,23.0,Run Defender,17.071978725537264,OverPaid,1.883705211061427
00-0033156,J.Bosa,2,487.4830941014268,15.157406089926008,15.287442185281861,75.0,12.61,Balanced,18.848966665254896,UnderPaid,0.3989524350105452
00-0035647,M.Sweat,2,486.0896915268619,14.036023956297804,17.43298556888085,81.26666666666667,24.5,Every-Down,22.116667323877703,FairlyPaid,2.09805835486088
00-0035402,C.Granderson,2,478.53576292690104,9.799764679705719,22.292313152501084,84.6,13.0,Run Defender,16.351323232421205,FairlyPaid,0.4546842523984032
00-0039138,K.Turner,2,477.07508286083873,12.401885115713416,18.38359961237829,92.6,1.347868,Every-Down,21.307247397640417,UnderPaid,-1.2104298317124063
00-0037235,T.Walker,2,468.70792015914697,7.687445468382568,13.207010403548367,76.86666666666667,9.343156,Replacement,13.065229777293348,FairlyPaid,-0.0678864194577093
00-0036479,K.Paye,2,464.34495594495587,10.408221408221408,18.267432267432266,76.8,16.0,Run Defender,15.37948359444652,FairlyPaid,0.8833905399973103
00-0031576,Z.Smith,2,455.81771022556586,13.887955935341624,15.0513952668883,78.06666666666668,4.25,Balanced,16.439450949168872,UnderPaid,-0.7957090864317424
00-0031935,P.Smith,2,408.7081572656199,11.092922831728801,15.750813034395122,73.6,1.255,Balanced,12.85474126493516,UnderPaid,-1.2237008635513182
00-0031364,J.Clowney,2,401.2950024880837,10.00773091167272,15.575007022475296,62.599999999999994,3.5,Balanced,12.290651689634977,UnderPaid,-0.9028856583314693
00-0032146,B.Dupree,2,398.71766558279427,9.413917669726061,12.263166249257095,62.599999999999994,4.005,Replacement,9.070900692991387,UnderPaid,-0.8307200999189865
00-0035279,C.Omenihu,2,397.0955500253218,10.755453596934968,12.344778590703617,69.2,4.0,Replacement,8.978326899846476,FairlyPaid,-0.831434610398318
00-0036413,D.Taylor,2,387.03328264301115,12.292595803967778,15.79763791003703,63.4,4.75,Balanced,11.20543389344984,UnderPaid,-0.7242580384985913
00-0036192,A.Epenesa,2,384.99177128334463,14.279404129377504,15.661758410226824,51.133333333333326,6.0,Balanced,11.050089062483348,UnderPaid,-0.5456304186657133
00-0036480,D.Odeyingbo,2,379.75710028853166,10.28161412330255,14.475990172919326,62.53333333333334,16.0,Replacement,7.9888252259410395,OverPaid,0.8833905399973103
00-0036378,M.Danna,2,374.41763645185216,8.4034711494277,15.58905011759837,58.73333333333333,8.0,Balanced,10.245470866146988,FairlyPaid,-0.2598262269331086
00-0027865,B.Graham,3,346.9783347733836,13.99783948415372,17.375902453546267,57.0,2.444444,Every-Down,19.353850517864863,UnderPaid,-0.6126376361902806
00-0032415,M.Judon,3,339.61940706550683,13.668116456595063,17.626486774365347,91.13333333333333,3.0,Every-Down,18.8167568726259,UnderPaid,-0.5046418058778325
00-0032671,M.Fox,3,326.2668443195123,9.336566759636005,11.952061553821977,62.26666666666667,0.315,Replacement,11.340391459047844,UnderPaid,-1.0265852362231498
00-0033073,E.Ogbah,3,325.2359096113298,10.682418806587236,14.426117927186226,38.26666666666667,3.25,Replacement,11.29256745938779,UnderPaid,-0.45604372111569863
00-0036151,B.Huff,3,312.52644295302014,14.692393736017898,14.998601789709173,52.93333333333333,17.033333,Pass-Rush Specialist,13.557118623282873,FairlyPaid,2.223330620639167
00-0034834,S.Hubbard,3,305.864019427848,8.934612696844168,17.975849907016254,48.06666666666666,10.0,Run Defender,12.472710502937684,FairlyPaid,0.8561045674619149
00-0027940,V.Miller,3,305.4465608029902,8.50935952628216,9.356567833119074,60.333333333333336,6.1,Replacement,10.374559943323856,FairlyPaid,0.09797444517262702
00-0027962,C.Jordan,3,301.5904826393414,7.546596787286184,15.64165430599573,51.53333333333333,6.05,Replacement,10.195680447538336,FairlyPaid,0.08825482822020028
00-0039142,W.McDonald,3,281.45572559366747,15.435356200527705,11.87335092348285,57.199999999999996,4.080416,Pass-Rush Specialist,11.731423078704841,UnderPaid,-0.29461721249237016
00-0033876,D.Barnett,3,277.2724143229652,11.216299590240268,18.80936859750419,36.2,4.0,Run Defender,10.881108355530797,UnderPaid,-0.3102494668292971
00-0034807,O.Okoronkwo,3,274.63083564486544,9.007937333456892,15.302386765545398,43.06666666666666,1.255,Balanced,11.926733574898071,UnderPaid,-0.8438564375175266
00-0036321,C.Young,3,270.1233223451849,9.503767365198964,10.384781414331686,40.0,17.0,Replacement,8.735951280146496,OverPaid,2.2168509408016623
00-0034797,J.Baker,3,261.4129024595134,4.263962205574505,19.96642997789564,39.53333333333334,1.4225,Run Defender,9.998260643900087,UnderPaid,-0.8112957207268968
00-0036288,Y.Gross-Matos,3,260.3913968106501,8.18301323521216,15.768475544185923,34.26666666666667,9.0,Balanced,11.045996366147097,FairlyPaid,0.6617122284133795
00-0033782,D.Walker,3,257.88506988578604,10.65870865316458,15.723339037422017,42.866666666666674,0.315,Balanced,10.890975132113766,UnderPaid,-1.0265852362231498
00-0034375,K.White,3,254.41369659558995,2.2761718706458756,19.08005082369569,41.8,0.315,Run Defender,9.6086374995436,UnderPaid,-1.0265852362231498
00-0038541,T.Wilson,3,251.83745580991013,8.22872597314788,13.335651501980102,39.599999999999994,6.251375,Replacement,7.887688758741547,FairlyPaid,0.12740058549609917
00-0033463,C.Lawson,3,242.758481699221,14.268627074846819,12.778385860386742,44.53333333333333,0.315,Pass-Rush Specialist,9.457597696804733,UnderPaid,-1.0265852362231498
00-0034832,B.Chubb,3,234.28887067722232,13.027754910031753,15.869321663561466,82.4,18.163333,Balanced,9.431503949994845,OverPaid,2.442993963764012
00-0033123,Y.Ngakoue,3,228.60368668620606,9.121333247645065,11.15175124366427,41.800000000000004,0.411344,Replacement,6.809898130630222,UnderPaid,-1.0078567007098578
00-0037083,K.Enagbare,3,226.2272488853921,7.554224825402376,18.36767005662888,20.666666666666668,10.0,Run Defender,8.039589153402954,FairlyPaid,0.8561045674619149
00-0033945,S.Ebukam,3,223.62174705372945,11.616589480025603,16.005246181457636,90.2,8.0,Balanced,8.771721440660135,FairlyPaid,0.4673198893648442
00-0036982,C.Golston,3,219.19776377040785,5.712948946655359,16.4155393520897,22.26666666666667,6.0,Replacement,6.373567050924258,FairlyPaid,0.07853521126777355
00-0035692,C.Ferrell,3,218.12282009697364,8.855271501935933,14.414577036098995,21.0,0.315,Replacement,6.323701520677901,UnderPaid,-1.0265852362231498
