      player_id       player_name  Tier  Final_agg_score  agg_PR_score  agg_RunD_score  Situational_score        apy                  Role    Est_APY    Pay_flag  Tier_APY_Z
47   00-0036288     Y.Gross-Matos     3       260.391397      8.183013       15.768476          34.266667   9.000000              Balanced  11.045996  FairlyPaid    0.661712
48   00-0033782          D.Walker     3       257.885070     10.658709       15.723339          42.866667   0.315000              Balanced  10.890975   UnderPaid   -1.026585
49   00-0034375           K.White     3       254.413697      2.276172       19.080051          41.800000   0.315000          Run Defender   9.608637   UnderPaid   -1.026585
50   00-0038541          T.Wilson     3       251.837456      8.228726       13.335652          39.600000   6.251375           Replacement   7.887689  FairlyPaid    0.127401
51   00-0033463          C.Lawson     3       242.758482     14.268627       12.778386          44.533333   0.315000  Pass-Rush Specialist   9.457598   UnderPaid   -1.026585
52   00-0034832           B.Chubb     3       234.288871     13.027755       15.869322          82.400000  18.163333              Balanced   9.431504    OverPaid    2.442994
53   00-0033123         Y.Ngakoue     3       228.603687      9.121333       11.151751          41.800000   0.411344           Replacement   6.809898   UnderPaid   -1.007857
54   00-0037083        K.Enagbare     3       226.227249      7.554225       18.367670          20.666667  10.000000          Run Defender   8.039589  FairlyPaid    0.856105
55   00-0033945          S.Ebukam     3       223.621747     11.616589       16.005246          90.200000   8.000000              Balanced   8.771721  FairlyPaid    0.467320
56   00-0036982         C.Golston     3       219.197764      5.712949       16.415539          22.266667   6.000000           Replacement   6.373567  FairlyPaid    0.078535
57   00-0035692         C.Ferrell     3       218.122820      8.855272       14.414577          21.000000   0.315000           Replacement   6.323702   UnderPaid   -1.026585
58   00-0039112        L.Van Ness     3       214.752283      9.362782       21.542071          27.000000   4.347024          Run Defender   7.400815  FairlyPaid   -0.242791
59   00-0038127            L.Hall     3       214.261781      5.831956       10.942523          27.733333   6.875000           Replacement   6.144592  FairlyPaid    0.248629
60   00-0036902           J.Ossai     3       211.792338     11.736861       16.155825          29.466667  11.500000              Balanced   8.040049  FairlyPaid    1.147693
61   00-0033907           D.Smoot     3       211.103362      7.866272        9.945526          29.800000   1.500000           Replacement   5.998076  FairlyPaid   -0.796230
62   00-0039006  F.Anudike-Uzomah     3       200.167151      8.945376       22.017381          13.800000   2.954455          Run Defender   6.588908  FairlyPaid   -0.513495
63   00-0038107         M.Clemons     3       191.583973      5.640123       17.724375          21.400000   5.666667          Run Defender   6.111110  FairlyPaid    0.013738
64   00-0031411        D.Lawrence     4       162.950654      3.894298        5.563282          52.200000  10.833333           Replacement   7.875264  FairlyPaid    2.336865
65   00-0034163          J.Martin     4       160.576034     11.996479       14.372994          18.600000   2.585000  Pass-Rush Specialist   9.824052   UnderPaid   -0.145350
