player_id,player_name,Tier,Final_agg_score,agg_PR_score,agg_RunD_score,Situational_score,apy,Role,Est_APY,Pay_flag,Tier_APY_Z
00-0034285,Z.Sieler,0,739.8279414136946,9.303474693372937,35.42531722153586,98.0,21.333333,Every-Down,33.750555948049985,UnderPaid,-0.7198446025630434
00-0032378,D.Buckner,0,727.3651643556148,9.852556614587078,41.63342258943871,92.8,23.0,Every-Down,26.00496766470701,FairlyPaid,-0.4219778273286733
00-0032762,C.Jones,0,726.0771609189453,9.137067089315613,19.67004348963134,144.0,31.75,Pass-Rush Specialist,21.146128494381784,OverPaid,1.141822429891718
00-0031933,L.Williams,1,620.5814671147743,8.742307587999559,35.164730499072704,63.333333333333336,21.5,Every-Down,26.399711681533976,FairlyPaid,0.535279285648599
00-0035683,D.Lawrence,1,612.0215071479571,6.70591746448337,21.62357813206248,98.0,22.5,Replacement,15.19363274817929,OverPaid,0.6628955391807153
00-0035248,Z.Allen,1,585.4263707062244,10.509734600984876,31.277651988481267,74.86666666666667,25.5,Every-Down,23.16514880108995,FairlyPaid,1.0457442997770643
00-0031254,D.Autry,1,580.3102819147227,12.315399431627503,25.90089004562689,93.73333333333335,7.5,Balanced,20.001866846566354,UnderPaid,-1.25134826380103
00-0026190,C.Campbell,1,549.5113930167303,9.000092747413904,34.85368732026554,58.666666666666664,5.5,Every-Down,19.860670487721997,UnderPaid,-1.5065807708652628
00-0034773,V.Vea,1,526.1932050892781,8.094997418239975,30.44670176346874,69.73333333333333,17.75,Every-Down,17.715202182562944,FairlyPaid,0.05671833490316262
00-0035230,E.Oliver,1,517.8181277607622,8.200696590558882,27.025489970255745,71.53333333333333,17.0,Balanced,14.934245785164087,FairlyPaid,-0.03899385524592464
00-0034800,B.Hill,1,501.4425198885414,6.687987792892341,30.45036448445317,62.133333333333326,11.0,Run Defender,12.821333478788494,FairlyPaid,-0.8046913764386228
00-0035231,C.Wilkins,1,471.7955182624311,7.2934676863400485,32.75513369044571,59.666666666666664,27.5,Run Defender,10.555895637272755,OverPaid,1.300976806841297
00-0034805,J.Franklin-Myers,2,455.98534599658365,9.515202422173362,27.453764261200615,48.666666666666664,21.0,Balanced,22.47351960961402,FairlyPaid,1.2204813967143877
00-0027969,Ca.Heyward,2,446.86237768277414,5.8160959249183115,22.461170848267624,58.8,14.5,Replacement,14.495155387026925,FairlyPaid,0.4279736173158211
00-0034333,D.Payne,2,446.57969172255673,6.6893269074908375,29.487771855074353,64.0,22.5,Run Defender,20.26583341453422,FairlyPaid,1.4033678073448261
00-0032387,Ja.Reed,2,438.0623402958033,7.136909220772433,29.13035904046827,62.400000000000006,7.333333,Run Defender,19.44074738769625,UnderPaid,-0.4458170518932539
00-0033051,D.Onyemata,2,437.53310929761585,6.600043443491106,31.162390799336436,42.4,10.5,Run Defender,19.389480147483237,UnderPaid,-0.059723477698681394
00-0035718,Q.Williams,2,436.2639480259413,4.802359711758968,14.411737821661822,86.93333333333332,24.0,Replacement,13.761810697200103,OverPaid,1.5862542179752646
00-0033523,J.Allen,2,431.82136453480496,7.660013811105277,32.03181176433339,52.73333333333333,17.0,Run Defender,18.836176596116616,FairlyPaid,0.7327843016998852
00-0033952,G.Stewart,2,427.9338471372614,4.436624778990495,39.35657437256743,25.666666666666668,13.0,Run Defender,18.459588132979157,UnderPaid,0.2450872066853827
00-0033131,M.Collins,2,419.2795362659573,6.706987737541258,24.716192220060112,54.0,10.0,Replacement,12.586596200589609,FairlyPaid,-0.1206856145754942
00-0032416,Q.Jefferson,2,408.3139953610289,8.60995066860564,27.290123891175394,48.20000000000001,0.315,Balanced,17.572805299433867,UnderPaid,-1.3015222058793585
00-0037075,D.Wyatt,2,408.17953272293397,7.81217385662949,31.19348023535916,27.400000000000002,3.215296,Run Defender,16.5459640523959,UnderPaid,-0.947905722408813
